sub,ses,context,switch,train_type,transfer,full_transfer_first,original_house,t,n_clicks,n_cc,n_oc,n_lc,n_nc,setting_sticks,setting_slips,context_changes,accuracy,setting_errors,general_errors,learned_setting_errors,rt,win,rt_correct,transition_probabilities
4,2,2,1,2,NA,NA,NA,167.5625,7.145833333333333,2.4791666666666665,4.645833333333333,NA,0.020833333333333332,0,0.5416666666666666,1.1041666666666667,0.4307524651274651,0.5675114237614237,0.001736111111111111,NA,2.8052916666666667,0.25,1.2116428571428572,NA
4,3,1,0,2,NA,NA,NA,84.075,2.6,2.475,0.125,NA,0,0,0.05,0.1,0.9791666666666666,0.020833333333333332,0,NA,0.74875,0.975,0.74875,NA
4,3,1,1,2,NA,NA,NA,84.43243243243244,2.5135135135135136,2.4864864864864864,0.02702702702702703,NA,0,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.990990990990991,0.009009009009009009,0,NA,1.3546216216216216,1,1.30775,NA
4,3,2,0,2,NA,NA,NA,74.775,2.1,2.1,0,NA,0,0,0,0,1,0,0,NA,0.72545,1,0.72545,NA
4,3,2,1,2,NA,NA,NA,83.27777777777777,2.6944444444444446,2.5833333333333335,0.1111111111111111,NA,0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.9712962962962963,0.028703703703703703,0,NA,1.4932222222222222,0.9444444444444444,1.4127575757575757,NA
5,1,1,0,NA,NA,NA,NA,94.75694444444444,3.25,2.4305555555555554,0.3611111111111111,NA,0.4583333333333333,0.041666666666666664,0.2569444444444444,0.8194444444444444,0.8829369298667544,0.05580552285596145,0.06125754727728412,NA,1.2615555555555555,0.7986111111111112,1.098854961832061,NA
5,1,1,1,NA,NA,NA,NA,179,6,2,2,NA,2,1,1,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,NA,4.167,0,NA,NA
5,1,2,0,NA,NA,NA,NA,181.4313725490196,3.5784313725490198,2.735294117647059,0.2647058823529412,NA,0.5784313725490197,0.00980392156862745,0.12745098039215685,0.5392156862745098,0.9139044922781947,0.028924106778778057,0.05717140094302724,NA,1.0511470588235294,0.8529411764705882,0.9786631578947368,NA
5,1,2,1,NA,NA,NA,NA,165.5,8,3.5,1.5,NA,3,0,0.5,3.5,0.6785714285714286,0.10714285714285714,0.21428571428571427,NA,3.125,0.5,3.125,NA
5,2,1,0,1,NA,NA,NA,125.1554054054054,2.804054054054054,2.581081081081081,0.14864864864864866,NA,0.07432432432432433,0.013513513513513514,0.07432432432432433,0.22972972972972974,0.9678142428142428,0.020053088803088804,0.012132668382668382,NA,0.8719256756756757,0.9256756756756757,0.7984513888888889,NA
5,2,1,1,1,NA,NA,NA,168.16666666666666,8.666666666666666,2.5,6,NA,0.16666666666666666,0,0.16666666666666666,0.6666666666666666,0.2685185185185185,0.7175925925925926,0.013888888888888888,NA,6.450333333333333,0,NA,NA
5,2,2,0,1,NA,NA,NA,198.43150684931507,2.9315068493150687,2.6575342465753424,0.19863013698630136,NA,0.07534246575342465,0.0136986301369863,0.06164383561643835,0.2191780821917808,0.9611600347901718,0.025475646879756467,0.013364318330071755,NA,0.7933493150684932,0.9041095890410958,0.7542394366197183,NA
5,2,2,1,1,NA,NA,NA,146,11.857142857142858,3.2857142857142856,7.142857142857143,NA,1.4285714285714286,0,0.14285714285714285,2,0.2747835497835498,0.6225468975468975,0.10266955266955267,NA,5.900285714285714,0,NA,NA
5,3,1,0,1,NA,NA,NA,79.85365853658537,2.951219512195122,2.8048780487804876,0.0975609756097561,NA,0.04878048780487805,0,0.07317073170731707,0.1951219512195122,0.9766260162601627,0.016260162601626015,0.007113821138211382,NA,0.9040243902439025,0.8780487804878049,0.8535,NA
5,3,1,1,1,NA,NA,NA,80.75675675675676,2.945945945945946,2.6216216216216215,0.2702702702702703,NA,0.05405405405405406,0.24324324324324326,0.2702702702702703,0.5675675675675675,0.9022522522522523,0.07972972972972972,0.018018018018018018,NA,1.4458378378378378,0.9459459459459459,1.308037037037037,NA
5,3,2,0,1,NA,NA,NA,78.625,2.775,2.6,0.125,NA,0.05,0.025,0.075,0.2,0.9645833333333333,0.025416666666666667,0.01,NA,0.737375,0.85,0.6928205128205128,NA
5,3,2,1,1,NA,NA,NA,81.775,3.25,2.975,0.175,NA,0.1,0.1,0.175,0.45,0.931875,0.042291666666666665,0.025833333333333333,NA,1.546375,0.9,1.5202058823529412,NA
6,1,1,0,NA,NA,NA,NA,129.69787234042553,3.5659574468085107,2.6808510638297873,0.1148936170212766,NA,0.7702127659574468,0.01276595744680851,0.05106382978723404,0.7702127659574468,0.8381712259371834,0.011171901384667341,0.15065687267814928,NA,1.2458468085106382,0.7191489361702128,1.0173857868020304,NA
6,1,1,1,NA,NA,NA,NA,247,2,2,0,NA,0,0,0,0,1,0,0,NA,3.084,1,3.084,NA
6,1,2,0,NA,NA,NA,NA,262.5357142857143,3.142857142857143,2.511904761904762,0.21428571428571427,NA,0.4166666666666667,0.07142857142857142,0.10714285714285714,0.4523809523809524,0.9287131519274376,0.024584278155706726,0.04670256991685563,NA,0.5274047619047619,0.8809523809523809,0.403012987012987,NA
6,1,2,1,NA,NA,NA,NA,244,3,1,0.5,NA,1.5,0.5,0.5,1,0.6,0.1,0.3,NA,2.492,0.5,1.609,NA
6,2,1,0,1,NA,NA,NA,130.79470198675497,2.7086092715231787,2.629139072847682,0.07947019867549669,NA,0,0.006622516556291391,0.019867549668874173,0.039735099337748346,0.9902334604321359,0.009766539567864071,0,NA,0.3686225165562914,0.9271523178807947,0.34846666666666665,NA
6,2,1,1,1,NA,NA,NA,142.57142857142858,9.428571428571429,3.142857142857143,6.285714285714286,NA,0,0,0,0,0.3404761904761905,0.6595238095238095,0,NA,5.175285714285714,0,NA,NA
6,2,2,0,1,NA,NA,NA,193.73825503355704,2.563758389261745,2.523489932885906,0.03355704697986577,NA,0.006711409395973154,0,0.006711409395973154,0.020134228187919462,0.994034302759135,0.0037285607755406414,0.0022371364653243847,NA,0.30253020134228187,0.9664429530201343,0.30260135135135136,NA
6,2,2,1,1,NA,NA,NA,144.875,9.875,2.875,7,NA,0,0,0,0,0.30335775335775333,0.6966422466422466,0,NA,4.683625,0,NA,NA
6,3,1,0,1,NA,NA,NA,85.8,2.6,2.55,0.05,NA,0,0,0.025,0.05,0.9916666666666667,0.008333333333333333,0,NA,0.580875,0.95,0.580875,NA
6,3,1,1,1,NA,NA,NA,78.3076923076923,2.871794871794872,2.6666666666666665,0.1794871794871795,NA,0.02564102564102564,0.15384615384615385,0.1794871794871795,0.38461538461538464,0.9388888888888889,0.052564102564102565,0.008547008547008546,NA,1.0346410256410257,0.8974358974358975,1.0325454545454544,NA
6,3,2,0,1,NA,NA,NA,81.45,2.45,2.4,0.025,NA,0.025,0,0.025,0.075,0.9914285714285714,0.0035714285714285713,0.005,NA,0.52895,0.95,0.4927179487179487,NA
6,3,2,1,1,NA,NA,NA,78.375,2.425,2.3,0.125,NA,0,0.125,0.125,0.25,0.9608333333333333,0.03916666666666667,0,NA,1.02415,0.95,1.0234857142857143,NA
7,1,1,0,NA,NA,NA,NA,92.2016806722689,2.638655462184874,2.504201680672269,0.05042016806722689,NA,0.08403361344537816,0,0.03361344537815126,0.09243697478991597,0.9799719887955182,0.008029878618113911,0.01199813258636788,NA,0.608781512605042,0.957983193277311,0.6039067796610169,NA
